"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jan 2014",9432442.22359387,8687142.96435202,10177741.4828357,8292605.3687283,10572279.0784594
"Feb 2014",8570542.11344351,7785960.48096138,9355123.74592565,7370628.05306534,9770456.17382169
"Mar 2014",6615196.90679371,5829993.90389097,7400399.90969645,5414332.54236365,7816061.27122377
"Apr 2014",6005400.76313541,5195880.53762641,6814920.9886444,4767346.41603613,7243455.11023468
"May 2014",5917519.42288073,5107998.39095265,6727040.45480882,4679463.84246989,7155575.00329157
"Jun 2014",8187445.22352696,7377116.82626989,8997773.62078403,6948154.88439885,9426735.56265507
"Jul 2014",9529205.87690001,8718178.49971609,10340233.2540839,8288846.54022287,10769565.2135771
"Aug 2014",9992317.95828784,9181271.2691791,10803364.6473966,8751929.0865704,11232706.8300053
"Sep 2014",8546942.0849089,7735757.4622881,9358126.70752969,7306342.26208878,9787541.90772901
"Oct 2014",5856320.1430368,5045132.5155521,6667507.77052149,4615715.72467392,7096924.56139967
"Nov 2014",6153349.68968857,5342162.03867755,6964537.34069959,4912745.23534529,7393954.14403186
"Dec 2014",7732247.93407014,6921051.87322455,8543443.99491573,6491630.61799477,8972865.25014551
